file_name,icall,RMSE,K,WUM,WLM,C,WDM,B,IMP,SM,EX,KG,KSS,KKG,KKSS,CS,L,U
Qr_2.pkl,5743,7.260414344,0.604397492,3.600660597,11.93503192,49.70115057,86.33751664,1.993745322,0.11291016,27.21174361,2.99897504,0.599981983,0.147105671,0.939260062,0.910110661,0.547914301,0.166787402,126
Qr_4.pkl,4055,25.8288214,1.171922515,22.01154881,9.706281017,24.69044685,25.55093199,1.629789842,0.128000524,33.28274809,1.302375157,0.492862521,0.106845202,0.925968359,0.787813723,0.670982159,0.007839915,109.8
Qr_5.pkl,4581,92.08670003,0.796780353,11.58760569,49.8505942,19.33982278,23.61808519,1.728144443,0.102835216,31.01959497,2.999715846,0.5999985,0.199453295,0.983469326,0.739684352,0.725960804,0.008026709,126
Qr_5.pkl,3692,92.4409334,0.735649966,10.06401049,47.42642615,35.91135728,90.40973321,1.884524893,0.105814338,29.0422024,2.719430176,0.516111444,0.166690356,0.994904169,0.794092729,0.702745836,0.000588748,126
Qr_5.pkl,3348,92.79948714,0.775323322,11.82817175,14.55786277,46.96326124,64.03861286,1.57954413,0.080276421,28.71816178,2.574752195,0.599624335,0.134623484,0.968465919,0.572457306,0.712800144,0.499671235,126
Qr_5.pkl,2860,92.48920035,0.693779624,9.58126095,60.02395765,34.70598327,47.97970687,1.889367358,0.148474629,36.19634413,2.776076315,0.553324625,0.101098554,0.994683391,0.938025205,0.701238288,0.340189049,126
Qr_4.pkl,3726,25.53421539,0.942137771,15.02485938,44.73824552,38.59920482,38.42673796,1.540261141,0.055438024,37.33820812,2.307118288,0.350871327,0.161099337,0.919901252,0.500218849,0.731225881,0.00665766,109.8
Qr_4.pkl,4767,25.40104488,0.91053293,15.43115775,6.015506068,35.15201648,42.59337302,1.384090578,0.135085391,29.27803535,1.640906654,0.444075553,0.192253454,0.920232765,0.618315361,0.727615533,0.000724838,109.8
Qr_4.pkl,4372,25.16983815,0.888179035,14.86008068,38.54319902,21.27806318,12.59387748,1.815433842,0.151973853,32.95077397,2.360240111,0.408589916,0.131069192,0.925004519,0.883512647,0.760314221,0.085734459,109.8
Qr_4.pkl,4192,25.13018813,0.937438458,15.6613519,55.22539005,39.33989184,14.04023014,1.976020982,0.119967713,41.12190482,2.851388716,0.374469648,0.162602671,0.900012746,0.78713977,0.731757365,0.298127989,109.8
Qr_4.pkl,2619,25.504945,0.959627016,15.98352624,38.86030769,29.34132885,16.14810288,1.143502135,0.099099184,39.12838611,1.087594707,0.558383052,0.150987763,0.929062273,0.588773283,0.679838646,0.231542283,109.8
Qr_2.pkl,2531,7.413539204,0.850224244,4.856294073,49.21097407,13.64743461,49.84936921,1.962427535,0.068649128,26.82113724,2.63786395,0.478760341,0.158031401,0.939693867,0.691672489,0.565896513,0.136171438,38.6
Qr_2.pkl,4431,7.227676408,0.706327664,2.616141872,55.72239316,10.92192314,57.29711734,1.469066927,0.063304421,28.60471455,2.824998535,0.570508974,0.160675116,0.926342764,0.502637204,0.53931817,0.31298965,38.6
Qr_2.pkl,5990,7.421583994,0.620856984,3.670156934,54.13751768,29.6462732,53.53608746,1.999760798,0.105248548,27.50781018,1.926567661,0.383416027,0.106120622,0.951216726,0.874613758,0.553933031,0.25739128,38.6
Qr_2.pkl,6935,7.374549489,0.636962407,3.402343481,51.86533265,21.15312099,53.67247866,1.985077609,0.089006988,25.09706672,1.991777351,0.440083686,0.150874317,0.956907454,0.784305267,0.551251792,0.249604705,38.6
Qr_2.pkl,8057,7.316018874,0.64471464,3.625485364,56.68081003,24.57906963,67.51751095,1.807354858,0.028939314,28.5345931,2.784119663,0.490925901,0.164766413,0.918331241,0.8022457,0.541869331,0.192172714,38.6
Qr_4.pkl,3386,25.39928776,0.820689747,12.82098958,40.8302395,25.13672872,15.34152508,1.940250785,0.16446316,45.35475227,1.095021171,0.55564993,0.168707943,0.90124175,0.840256466,0.609740612,0.299900155,109.8
Qr_4.pkl,4389,25.07448225,0.9005654,14.80841024,38.53382778,29.92576053,20.82488399,1.99906142,0.15812187,22.85620787,0.31089783,0.41254927,0.18850507,0.9076727,0.67160036,0.63482191,0.449683,109.8
