file_name,init_points,n_iter,target,B,C,CS,EX,IMP,K,KG,KKG,KKSS,KSS,L,SM,WDM,WLM,WUM,area
Qr_2.pkl,5,25,15.00589969,0.087115702,11.92485986,0.669583625,0.988043994,0.181341128,1.345942327,0.496699206,0.945894421,0.546578027,0.117996337,2.357924958,60.66354122,39.22496234,82.17302843,6.82760183,38.6
Qr_2.pkl,5,25,15.04582079,0.520078783,33.36198638,0.713824848,1.8416855,0.091407507,2.764789,0.115571237,0.942812618,0.979228038,0.198263391,6.925168457,68.8831417,86.54006729,84.66416221,14.15973095,38.6
Qr_2.pkl,5,25,16.45816855,0.05,48.63488217,0.176076592,2.468230335,0.130803165,1.480169888,0.52277274,0.906316767,0.5,0.168538675,3.507049913,48.66733041,30.60823731,81.92991383,1.302625963,38.6
Qr_2.pkl,5,25,15.77342822,0.65759225,30.11569844,0.9,0.761258676,0.2,2.855651904,0.6,0.972180871,0.989314005,0.2,1.912448081,67.22640056,45.77483123,27.71692945,21.23054499,38.6
Qr_2.pkl,5,25,15.71333062,0.054028745,10.32630218,0.552455362,0.907045437,0.185156393,2.817160856,0.255135714,0.933951856,0.863979152,0.162747966,0.580310992,54.55403942,78.09949621,11.20701755,9.454245004,38.6
Qr_2.pkl,5,25,12.76819169,0.643155067,39.91906185,0.652381381,1.75499646,0.2,2.713872115,0.52352859,0.918527883,0.930622561,0.153640429,0,39.29014384,60.38776689,8.883657658,8.370438621,38.6
Qr_2.pkl,10,50,14.79371416,0.906459141,24.03858313,0.9,0.1,0.2,2.226709167,0.6,0.999,0.537351619,0.2,2.386907518,58.16560396,41.06713956,36.82561243,27.1331545,38.6
Qr_2.pkl,10,50,14.91181732,0.265677803,2.335083586,0.789977539,0.42713943,0.191523035,2.819188271,0.415995096,0.985786386,0.723595144,0.130308981,2.004297192,37.99745373,97.67717637,88.95421952,24.50478536,38.6
Qr_2.pkl,10,50,15.07195716,0.32523998,8.100279405,0.770448488,0.1,0.097523799,2.951231777,0.1,0.930417769,0.982564748,0.134035832,2.785195641,18.12934894,81.82069094,86.95619009,14.29582476,38.6
Qr_2.pkl,5,35,14.6123185,0.060693043,9.354077703,0.486547927,1.039286123,0.165219762,1.156865134,0.408040202,0.911901736,0.833329233,0.151599679,0.947763681,14.54794273,74.58877619,89.94761649,5.219140016,38.6
Qr_2.pkl,5,45,15.3521301,0.349664989,39.83733793,0.9,0.546713153,0.2,1.9091093,0.260319471,0.999,0.99,0.147171816,4.233717398,76.46411251,82.19153505,11.44209749,8.143909297,38.6
Qr_2.pkl,5,55,11.56856873,0.205839934,14.78990007,0.510988797,0.121357585,0.147748606,2.580514445,0.277707765,0.982232715,0.888064166,0.110565297,0.149102783,26.28899267,59.94043014,41.56649147,2.109015983,38.6
Qr_2.pkl,5,65,17.97518194,1.524447534,16.98733767,0.9,0.955059914,0.192841394,3,0.326554572,0.999,0.936438196,0.2,5.172769944,8.320706893,79.4650054,2.152784586,16.43245737,38.6
Qr_2.pkl,5,75,12.15486805,0.248152587,34.10391882,0.873432819,0.728948975,0.150376859,1.464362691,0.120045877,0.947662257,0.797992394,0.187730849,0.384602268,66.65774604,93.39607476,31.36249141,15.09989412,38.6
Qr_2.pkl,5,95,13.91220333,0.775357279,38.49102482,0.889229203,0.847947136,0.1791977,2.523378217,0.404593093,0.907709236,0.804307602,0.130124646,0.499263876,20.11404726,17.26478216,61.06902501,14.09684298,38.6
Qr_2.pkl,5,100,14.5761349,0.169094316,45.69412798,0.874439568,2.949085142,0.139705576,2.786378276,0.521214395,0.918147288,0.767552376,0.185573601,0.127249591,40.12541952,45.55776334,6.03431279,19.87459687,38.6
Qr_2.pkl,10,100,14.46912869,0.150716367,12.7366342,0.891655314,0.973116956,0.2,2.085808158,0.210131101,0.998753621,0.815514321,0.110758566,1.147953092,8.760319449,60.45891627,58.94193337,4.692174991,38.6
Qr_2.pkl,15,100,14.0502773,1.628709799,16.99759719,0.842895212,0.81072766,0.106222273,1.951855792,0.448126601,0.922144995,0.642103965,0.132052328,0.164637685,46.00179444,90.6862811,32.79344852,4.196929376,38.6
Qr_2.pkl,25,100,12.22926649,0.687865073,24.26797085,0.452499159,0.222223168,0.157219897,1.706314941,0.510711403,0.920394034,0.643762073,0.149344882,0.374703719,59.75257291,41.63594029,95.34269658,6.613709998,38.6
Qr_4.pkl,10,50,36.87052962,0.806639785,28.90576386,0.782163472,1.698559624,0.023175964,2.490520708,0.373332184,0.936749832,0.849090198,0.146682195,0.215097309,35.608297,93.03476711,9.701384168,29.2688915,109.8
Qr_4.pkl,10,50,31.58770204,0.856352884,26.21104217,0.714060206,1.475492731,0.052488432,1.935836552,0.43018994,0.962621837,0.800075906,0.15658774,0.116344143,44.41279386,50.71512557,19.04047292,19.09144004,109.8
Qr_4.pkl,10,50,34.49943457,1.587243239,34.55470289,0.548878349,2.646023584,0.125017876,2.587115268,0.182269049,0.953003883,0.78301384,0.18353006,0.433973394,53.82914605,75.97257375,2.797913018,5.805872017,109.8
Qr_4.pkl,10,100,37.0455738,1.27208814,12.21357047,0.704424355,0.434263738,0.060603305,1.724575028,0.159158055,0.973148082,0.878681714,0.155615694,0.953968022,60.95875423,91.91752478,22.89144562,26.00408847,109.8
Qr_4.pkl,25,100,29.81489335,1.624086978,7.93414986,0.651352489,2.366573754,0.091022359,1.413619047,0.529481069,0.957436304,0.514835366,0.171730135,0,35.05822902,65.20400688,48.29379886,26.61562703,109.8
Qr_4.pkl,35,100,28.43902044,1.651796176,19.588013,0.701272867,1.747514591,0.017652118,1.339991915,0.531265168,0.918808671,0.537758536,0.18052305,0.310930927,75.4914665,79.61263831,16.57737912,25.68141649,109.8
Qr_4.pkl,45,100,32.54670529,0.418227172,12.97874731,0.77335907,1.534798432,0.093886597,1.303343452,0.400906711,0.930523463,0.954133019,0.181556534,0.330331566,58.72524313,65.59225189,12.85626261,13.63048534,109.8
Qr_4.pkl,45,120,31.35022334,0.953978474,35.14642189,0.681051661,1.45678768,0.020073359,2.087008325,0.268777581,0.943169067,0.726139604,0.1963574,0.179414347,37.68987218,42.37070339,38.69127763,20.19275438,109.8
Qr_4.pkl,45,130,35.98847521,0.414809928,33.55207414,0.473308806,1.984933541,0.018245596,1.616369868,0.332915584,0.900000848,0.824287431,0.170731102,0.487283891,55.35155717,45.79175232,96.50296436,14.27913701,109.8
Qr_5.pkl,10,100,102.2227241,1.529668801,28.72361286,0.541470736,1.090697453,0.166324247,1.524410933,0.409803945,0.903444303,0.672896275,0.177631508,0.456422509,47.74520047,13.72885957,24.31213552,4.394392794,126
Qr_5.pkl,10,100,113.0474783,1.295317088,41.69674034,0.273875174,2.891536624,0.026768395,1.381178282,0.576390083,0.967071237,0.90333967,0.158809532,0.967684495,66.85400336,54.30381184,52.60316349,6.259843135,126
Qr_5.pkl,5,25,107.147152,1.960820819,7.556617334,0.396023881,1.837572809,0.191622455,1.671023017,0.560253097,0.93772074,0.808708664,0.152985095,0.056178514,61.37502143,35.96595522,37.99593085,24.75760146,126
Qr_5.pkl,5,35,101.2211321,1.602215243,47.03919426,0.637850345,2.75727251,0.063780137,2.488333802,0.360807779,0.978088143,0.810656547,0.103116132,0.055281309,12.63762191,74.91456578,8.38918913,2.620206258,126
Qr_5.pkl,5,45,103.0610091,1.329694685,47.16363607,0.789739075,0.893893319,0.177225294,0.869188055,0.401693067,0.980128332,0.622940483,0.183047931,0.167448737,47.44779503,48.70858367,41.80678555,20.88443378,126
Qr_5.pkl,5,55,112.9081709,1.00978722,46.04609748,0.375114213,2.280026146,0.044827905,0.914075786,0.422497431,0.94211152,0.800274111,0.171654,0.818969248,67.19209887,30.90497502,39.58276291,11.81994722,126
Qr_5.pkl,5,65,101.6635025,1.08551719,19.79207432,0.622805751,1.155013806,0.157460958,1.011060817,0.429097749,0.97194382,0.642855966,0.190876241,0.290497725,62.58574766,35.08716009,12.96129283,4.619758994,126
Qr_5.pkl,5,75,104.6290699,0.329352062,19.26891549,0.689103138,2.38214568,0.057492568,1.004412417,0.504015375,0.956248753,0.561579218,0.143976116,0.404245932,78.1535745,67.90814477,45.41817833,18.68741443,126
Qr_5.pkl,45,130,103.6470466,1.834708638,9.829110373,0.494784392,2.982704386,0.105373299,2.49245857,0.279448436,0.977292237,0.908604806,0.180625787,0.28675889,45.77810061,89.46094937,33.8578401,23.20930859,126
Qr_5.pkl,30,100,102.7967716,0.83038747,21.9044783,0.532067704,1.201890581,0.175202435,1.234892415,0.189580887,0.936213562,0.804163019,0.194761557,0.136056277,21.49825936,74.14718223,67.08498262,25.75014655,126
Qr_5.pkl,30,110,99.75507019,1.831028373,16.8564315,0.544524944,2.509255159,0.01534739,1.443052506,0.350260332,0.967287242,0.583694552,0.127884169,0.425589125,44.95296107,96.61638327,2.674332135,15.10155468,126
Qr_5.pkl,30,120,106.6063257,0.659075344,2.432193221,0.864083812,1.141184335,0.150832376,0.968951596,0.304011916,0.99288699,0.786361047,0.14622288,0.407845895,47.11285947,82.07726654,85.81858642,11.92709336,126
Qr_5.pkl,40,80,101.63979380574754,1.4554468155243168,26.07381634220697,0.675937648350624,2.7242219274504427,0.16764894664900784,2.178413389218362,0.36869046759898,0.9581650760764547,0.8222084720021474,0.11896969209949382,0.24646296442668636,59.60480956684007,22.674787321914017,36.559266660765374,29.456907688077635,126
Qr_2.pkl,40,80,10.66933009125295,0.3293867001948322,11.305675671906005,0.32531393706207856,2.7053423075417156,0.2,2.9316081993251766,0.4564806732733573,0.9414226281954482,0.9383048142064014,0.1510351149708231,0.0,29.874197107348557,89.24126866012433,76.39780755184168,2.980099259633665,38.6
